First Name,Last Name,Team Name,Team Nickname,Aggression,Bravery,Determination,Teamplayer,Leadership,Temperament,Professionalism,Mental Toughness,Goalie Stamina,Acceleration,Agility,Balance,Speed,Stamina,Strength,Fighting,Screening,Getting Open,Passing,Puck Handling,Shooting Accuracy,Shooting Range,Offensive Read,Checking,Faceoffs,Hitting,Positioning,Shot Blocking,Stickchecking,Defensive Read,G Positioning,G Passing,G Pokecheck,Blocker,Glove,Rebound,Recovery,G Puckhandling,Low Shots,G Skating,Reflexes,TPE
Alexander,Chmelevski,San Jose,Barracuda,6,12,0,0,0,0,0,1,1,14,13,13,14,13,12,6,13,15,13,14,15,6,13,13,13,10,11,6,12,11,1,1,1,1,1,1,1,1,1,1,1,640
Noah,Gregor,San Jose,Barracuda,7,12,0,0,0,0,0,1,1,14,14,13,14,13,12,7,13,15,14,15,15,6,15,10,13,12,14,6,12,12,1,1,1,1,1,1,1,1,1,1,1,748
Evan,Weinger,San Jose,Barracuda,9,11,0,0,0,0,0,1,1,12,12,12,13,12,11,7,13,13,12,13,13,6,12,11,9,11,12,7,12,11,1,1,1,1,1,1,1,1,1,1,1,449
Alexander,True,San Jose,Barracuda,8,11,0,0,0,0,0,1,1,12,13,14,15,13,15,6,15,14,14,13,15,6,14,11,13,12,13,7,14,13,1,1,1,1,1,1,1,1,1,1,1,763
Thomas,Grégoire,San Jose,Barracuda,8,14,0,0,0,0,0,1,1,13,14,13,12,14,11,8,6,13,14,12,10,9,12,14,5,13,14,11,12,13,1,1,1,1,1,1,1,1,1,1,1,596
Josef,Korenár,San Jose,Barracuda,7,1,0,0,0,0,0,13,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,10,12,13,13,14,14,12,13,15,14,471
Joachim,Blichfeld,San Jose,Barracuda,8,13,0,0,0,0,0,1,1,13,12,13,14,13,13,6,13,14,14,15,15,7,14,11,9,11,13,6,12,13,1,1,1,1,1,1,1,1,1,1,1,662
Ivan,Chekhovich,San Jose,Barracuda,6,12,0,0,0,0,0,1,1,14,13,13,14,13,12,6,11,14,14,15,15,6,15,12,10,12,14,6,12,13,1,1,1,1,1,1,1,1,1,1,1,700
Danil,Yurtaikin,San Jose,Barracuda,6,15,0,0,0,0,0,1,1,14,15,13,14,14,12,6,13,12,12,14,14,5,14,15,12,11,14,7,13,14,1,1,1,1,1,1,1,1,1,1,1,774
Richard,Bachman,Utica,Comets,7,1,0,0,0,0,0,12,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,12,12,13,13,14,15,12,15,15,15,536
Carter,Bancks,Utica,Comets,11,16,0,0,0,0,0,1,1,12,14,13,13,11,12,8,11,11,14,13,11,5,12,15,13,13,15,7,14,15,1,1,1,1,1,1,1,1,1,1,1,732
Carter,Camper,Utica,Comets,7,11,0,0,0,0,0,1,1,14,15,12,14,14,10,6,12,13,16,16,13,7,15,13,14,10,13,7,12,14,1,1,1,1,1,1,1,1,1,1,1,778
Wacey,Hamilton,Utica,Comets,13,14,0,0,0,0,0,1,1,12,13,13,13,11,13,9,12,11,13,13,13,5,12,14,13,13,14,7,14,13,1,1,1,1,1,1,1,1,1,1,1,652
Dylan,Blujus,Utica,Comets,11,13,0,0,0,0,0,1,1,14,13,14,13,12,14,7,7,11,13,14,8,15,13,13,7,13,13,11,14,12,1,1,1,1,1,1,1,1,1,1,1,659
Reid,Boucher,Utica,Comets,8,15,0,0,0,0,0,1,1,15,14,13,15,15,13,6,13,14,14,15,15,6,15,12,10,13,12,6,13,12,1,1,1,1,1,1,1,1,1,1,1,825
Tyler,Graovac,Utica,Comets,7,14,0,0,0,0,0,1,1,13,13,14,13,14,15,8,15,14,13,15,15,8,14,13,13,12,11,6,14,13,1,1,1,1,1,1,1,1,1,1,1,805
Sven,Baertschi,Utica,Comets,7,13,0,0,0,0,0,1,1,16,15,15,15,14,13,5,13,14,14,15,15,7,15,13,10,11,14,7,12,14,1,1,1,1,1,1,1,1,1,1,1,879
Ashton,Sautner,Utica,Comets,7,13,0,0,0,0,0,1,1,13,15,14,15,13,13,7,8,11,13,14,7,15,13,15,7,13,14,14,15,13,1,1,1,1,1,1,1,1,1,1,1,782
Dyson,Stevenson,Utica,Comets,17,16,0,0,0,0,0,1,1,12,13,11,12,11,12,14,14,12,10,13,12,6,11,13,10,14,13,8,11,12,1,1,1,1,1,1,1,1,1,1,1,703
Vincent,Arseneau,Utica,Comets,19,16,0,0,0,0,0,1,1,10,10,11,10,12,15,14,14,13,10,9,12,6,12,14,8,15,13,9,12,13,1,1,1,1,1,1,1,1,1,1,1,813
John,Stevens,Utica,Comets,7,14,0,0,0,0,0,1,1,14,13,13,12,12,14,7,14,12,14,14,13,6,13,12,13,14,14,6,13,13,1,1,1,1,1,1,1,1,1,1,1,702
Zane,McIntyre,Utica,Comets,8,1,0,0,0,0,0,15,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,12,14,14,13,14,13,13,13,14,14,562
Nikolai,Goldobin,Utica,Comets,7,13,0,0,0,0,0,1,1,15,15,14,15,14,13,5,13,14,15,15,15,7,14,12,12,11,13,7,13,13,1,1,1,1,1,1,1,1,1,1,1,822
Tanner,Sorenson,Utica,Comets,14,14,0,0,0,0,0,1,1,13,14,12,13,13,11,10,11,12,13,15,10,3,12,10,13,13,13,9,12,12,1,1,1,1,1,1,1,1,1,1,1,618
Francis,Perron,Utica,Comets,7,12,0,0,0,0,0,1,1,15,16,12,15,13,11,8,13,14,15,15,14,6,14,12,11,10,12,7,13,12,1,1,1,1,1,1,1,1,1,1,1,744
Justin,Bailey,Utica,Comets,8,13,0,0,0,0,0,1,1,13,13,15,15,13,15,7,15,14,13,14,15,6,13,13,10,15,14,7,14,12,1,1,1,1,1,1,1,1,1,1,1,828
Guillaume,Brisebois,Utica,Comets,7,13,0,0,0,0,0,1,1,14,13,14,16,13,14,7,7,11,13,15,6,14,13,13,6,13,14,13,15,14,1,1,1,1,1,1,1,1,1,1,1,773
Stefan,LeBlanc,Utica,Comets,11,14,0,0,0,0,0,1,1,11,12,13,12,13,13,8,7,10,14,14,8,14,13,12,6,12,11,11,12,12,1,1,1,1,1,1,1,1,1,1,1,546
Brogan,Rafferty,Utica,Comets,9,15,0,0,0,0,0,1,1,14,12,14,13,14,13,7,8,13,14,15,8,15,15,14,6,14,13,12,14,13,1,1,1,1,1,1,1,1,1,1,1,802
Kole,Lind,Utica,Comets,7,14,0,0,0,0,0,1,1,14,13,14,13,13,12,8,13,14,14,15,14,6,14,13,10,12,14,7,13,12,1,1,1,1,1,1,1,1,1,1,1,722
Olli,Juolevi,Utica,Comets,6,11,0,0,0,0,0,1,1,15,14,15,15,13,13,6,7,11,15,14,6,15,14,13,6,11,13,12,14,14,1,1,1,1,1,1,1,1,1,1,1,751
Jonah,Gadjovich,Utica,Comets,9,14,0,0,0,0,0,1,1,12,11,14,12,13,14,8,14,14,12,13,15,6,13,13,9,15,11,6,13,12,1,1,1,1,1,1,1,1,1,1,1,665
Jalen,Chatfield,Utica,Comets,7,13,0,0,0,0,0,1,1,14,13,15,13,15,14,8,7,10,13,14,6,14,12,14,7,15,14,14,14,15,1,1,1,1,1,1,1,1,1,1,1,798
Michael,DiPietro,Utica,Comets,8,1,0,0,0,0,0,13,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,11,12,11,14,14,13,11,12,11,15,445
Mitch,Eliot,Utica,Comets,9,14,0,0,0,0,0,1,1,12,12,14,13,13,13,8,7,13,14,14,7,15,13,13,6,12,14,14,11,12,1,1,1,1,1,1,1,1,1,1,1,663
Seamus,Malone,Utica,Comets,13,14,0,0,0,0,0,1,1,14,14,12,13,13,11,3,11,13,15,14,12,5,15,11,12,10,13,7,13,12,1,1,1,1,1,1,1,1,1,1,1,661
Josh,Teves,Utica,Comets,6,13,0,0,0,0,0,1,1,15,14,13,14,14,13,7,7,12,15,15,8,15,14,14,6,12,14,14,14,13,1,1,1,1,1,1,1,1,1,1,1,810
Kiefer,Sherwood,San Diego,Gulls,6,13,0,0,0,0,0,1,1,14,15,13,14,12,13,7,13,14,13,15,15,7,15,11,11,16,14,7,12,13,1,1,1,1,1,1,1,1,1,1,1,802
Chris,Mueller,San Diego,Gulls,7,11,0,0,0,0,0,1,1,13,13,14,14,14,14,7,14,15,14,14,15,7,15,12,14,13,12,6,11,11,1,1,1,1,1,1,1,1,1,1,1,761
Corey,Tropp,San Diego,Gulls,13,15,0,0,0,0,0,1,1,14,13,14,14,12,13,14,14,12,14,14,13,6,13,15,6,15,13,7,13,11,1,1,1,1,1,1,1,1,1,1,1,807
Luke,Gazdic,San Diego,Gulls,17,18,0,0,0,0,0,1,1,11,11,15,12,13,17,14,16,11,12,11,12,5,11,15,9,16,13,7,15,13,1,1,1,1,1,1,1,1,1,1,1,1039
Sam,Carrick,San Diego,Gulls,11,15,0,0,0,0,0,1,1,13,14,13,14,13,15,10,13,13,13,13,14,6,13,14,14,15,12,7,12,13,1,1,1,1,1,1,1,1,1,1,1,787
Chase,De Leo,San Diego,Gulls,7,14,0,0,0,0,0,1,1,16,15,13,14,13,14,7,11,14,14,13,15,7,14,13,13,14,12,7,10,14,1,1,1,1,1,1,1,1,1,1,1,806
Hunter,Drew,San Diego,Gulls,13,13,0,0,0,0,0,1,1,12,10,13,12,12,13,10,7,11,13,13,8,15,13,12,5,14,13,12,11,12,1,1,1,1,1,1,1,1,1,1,1,569
Kevin,Boyle,San Diego,Gulls,9,1,0,0,0,0,0,14,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,13,15,13,14,14,13,12,13,13,13,534
Anthony,Stolarz,San Diego,Gulls,8,1,0,0,0,0,0,12,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,14,15,14,15,14,11,15,12,12,14,560
Alex,Broadhurst,San Diego,Gulls,7,14,0,0,0,0,0,1,1,14,15,12,14,11,13,6,13,14,14,14,15,6,13,13,13,12,14,7,13,14,1,1,1,1,1,1,1,1,1,1,1,762
Blake,Pietila,San Diego,Gulls,7,14,0,0,0,0,0,1,1,14,13,14,14,13,15,6,14,13,12,12,13,5,12,14,11,16,14,7,14,15,1,1,1,1,1,1,1,1,1,1,1,808
Ryan,Johnston,San Diego,Gulls,10,15,0,0,0,0,0,1,1,13,15,14,14,15,14,8,8,12,13,13,8,14,13,13,7,12,13,12,14,14,1,1,1,1,1,1,1,1,1,1,1,757
Andrew,Poturalski,San Diego,Gulls,7,11,0,0,0,0,0,1,1,15,15,12,14,14,12,6,12,15,15,15,15,8,15,12,14,11,14,6,10,13,1,1,1,1,1,1,1,1,1,1,1,801
Jani,Hakanpää,San Diego,Gulls,10,15,0,0,0,0,0,1,1,12,11,15,13,14,16,11,8,11,12,12,6,16,11,15,7,15,15,14,15,15,1,1,1,1,1,1,1,1,1,1,1,888
Chris,Wideman,San Diego,Gulls,7,14,0,0,0,0,0,1,1,14,15,13,14,13,12,9,7,13,15,15,8,16,13,12,7,13,14,12,11,13,1,1,1,1,1,1,1,1,1,1,1,757
Alex,Dostie,San Diego,Gulls,6,14,0,0,0,0,0,1,1,15,15,12,15,14,11,5,11,11,13,14,13,6,13,13,12,11,14,7,13,13,1,1,1,1,1,1,1,1,1,1,1,682
Brent,Gates,San Diego,Gulls,10,14,0,0,0,0,0,1,1,13,12,14,13,12,13,7,13,13,13,12,13,5,13,12,14,11,12,7,13,13,1,1,1,1,1,1,1,1,1,1,1,612
Daniel,Sprong,San Diego,Gulls,6,11,0,0,0,0,0,1,1,15,15,15,16,14,13,6,13,17,14,16,16,7,15,11,8,12,14,7,13,12,1,1,1,1,1,1,1,1,1,1,1,948
Deven,Sideroff,San Diego,Gulls,9,15,0,0,0,0,0,1,1,15,14,13,15,14,11,7,12,13,13,14,13,6,14,13,12,12,14,7,12,14,1,1,1,1,1,1,1,1,1,1,1,751
Jack,Kopacka,San Diego,Gulls,6,14,0,0,0,0,0,1,1,15,13,14,16,13,14,6,14,14,13,14,14,6,12,12,10,12,13,6,13,14,1,1,1,1,1,1,1,1,1,1,1,772
Max,Jones,San Diego,Gulls,9,15,0,0,0,0,0,1,1,14,13,15,14,13,15,9,13,15,13,13,15,8,15,13,10,13,15,6,13,13,1,1,1,1,1,1,1,1,1,1,1,844
Justin,Kloos,San Diego,Gulls,7,11,0,0,0,0,0,1,1,16,14,13,15,13,13,6,11,13,14,15,14,8,14,12,13,11,12,6,11,13,1,1,1,1,1,1,1,1,1,1,1,711
Brendan,Guhle,San Diego,Gulls,8,14,0,0,0,0,0,1,1,16,15,14,16,15,14,8,8,13,14,15,6,15,12,13,7,12,14,10,13,14,1,1,1,1,1,1,1,1,1,1,1,874
Josh,Mahura,San Diego,Gulls,7,13,0,0,0,0,0,1,1,15,14,13,15,14,14,7,8,13,14,16,8,16,14,12,6,11,14,14,12,12,1,1,1,1,1,1,1,1,1,1,1,824
Simon,Benoît,San Diego,Gulls,8,14,0,0,0,0,0,1,1,13,13,14,13,14,14,6,8,10,13,13,6,14,11,14,6,13,13,14,15,15,1,1,1,1,1,1,1,1,1,1,1,715
Maxime,Comtois,San Diego,Gulls,10,14,0,0,0,0,0,1,1,14,14,16,15,15,14,8,14,15,14,15,16,7,15,13,10,13,13,6,13,13,1,1,1,1,1,1,1,1,1,1,1,955
Antoine,Morand,San Diego,Gulls,7,14,0,0,0,0,0,1,1,15,15,12,15,12,12,7,11,13,15,15,15,5,14,11,12,10,12,6,10,13,1,1,1,1,1,1,1,1,1,1,1,709
Isac,Lundeström,San Diego,Gulls,7,13,0,0,0,0,0,1,1,15,14,15,15,14,13,6,13,13,14,15,15,6,14,12,12,11,13,7,13,13,1,1,1,1,1,1,1,1,1,1,1,792
Scott,Moldenhauer,San Diego,Gulls,10,13,0,0,0,0,0,1,1,12,12,15,13,13,15,7,7,8,13,13,7,13,12,14,4,12,14,15,15,13,1,1,1,1,1,1,1,1,1,1,1,683
Richard,Clune,Toronto,Marlies,18,15,0,0,0,0,0,1,1,11,10,12,11,12,14,15,14,11,12,13,12,5,12,15,10,15,13,7,13,13,1,1,1,1,1,1,1,1,1,1,1,814
Matt,Read,Toronto,Marlies,6,14,0,0,0,0,0,1,1,15,14,13,15,13,12,6,13,13,13,15,14,6,13,14,10,14,14,8,13,14,1,1,1,1,1,1,1,1,1,1,1,781
Darren,Archibald,Toronto,Marlies,10,15,0,0,0,0,0,1,1,12,12,14,12,13,15,13,15,12,14,13,15,7,12,14,9,17,15,7,12,14,1,1,1,1,1,1,1,1,1,1,1,871
Garrett,Wilson,Toronto,Marlies,8,14,0,0,0,0,0,1,1,12,11,12,13,11,15,13,15,16,14,12,15,5,11,15,11,18,15,8,14,13,1,1,1,1,1,1,1,1,1,1,1,930
Nicholas,Baptiste,Toronto,Marlies,7,14,0,0,0,0,0,1,1,14,14,14,15,12,14,7,14,14,13,14,14,7,14,14,9,14,12,7,13,14,1,1,1,1,1,1,1,1,1,1,1,799
Ben,Harpur,Toronto,Marlies,11,16,0,0,0,0,0,1,1,13,13,16,14,14,16,12,10,11,11,12,5,13,11,15,6,16,13,14,17,13,1,1,1,1,1,1,1,1,1,1,1,947
Nic,Petan,Toronto,Marlies,8,15,0,0,0,0,0,1,1,14,15,15,13,13,12,6,10,15,15,15,14,7,15,14,13,11,13,7,12,14,1,1,1,1,1,1,1,1,1,1,1,834
Tyler,Gaudet,Toronto,Marlies,8,13,0,0,0,0,0,1,1,13,13,15,14,12,15,8,15,13,13,13,14,5,12,14,13,14,14,7,14,12,1,1,1,1,1,1,1,1,1,1,1,774
Scott,Pooley,Toronto,Marlies,10,13,0,0,0,0,0,1,1,13,13,13,13,14,13,7,14,14,12,14,15,6,11,13,11,12,13,7,12,13,1,1,1,1,1,1,1,1,1,1,1,658
Kenny,Agostino,Toronto,Marlies,9,13,0,0,0,0,0,1,1,15,13,14,15,13,15,8,14,14,16,15,14,6,13,14,9,15,13,7,12,14,1,1,1,1,1,1,1,1,1,1,1,882
Michael,Kapla,Toronto,Marlies,7,13,0,0,0,0,0,1,1,14,14,15,14,13,15,7,8,12,14,15,7,15,13,12,8,13,13,13,14,15,1,1,1,1,1,1,1,1,1,1,1,799
Jordan,Schmaltz,Toronto,Marlies,6,13,0,0,0,0,0,1,1,15,14,15,13,13,14,6,8,11,13,15,6,14,13,13,7,13,13,15,15,15,1,1,1,1,1,1,1,1,1,1,1,794
Mac,Hollowell,Toronto,Marlies,7,13,0,0,0,0,0,1,1,13,14,12,13,12,11,5,6,14,15,15,8,16,15,12,6,13,12,13,12,14,1,1,1,1,1,1,1,1,1,1,1,718
Kevin,Gravel,Toronto,Marlies,5,15,0,0,0,0,0,1,1,13,13,15,12,13,15,6,9,13,13,13,5,14,10,14,7,13,14,15,16,15,1,1,1,1,1,1,1,1,1,1,1,806
Pontus,Åberg,Toronto,Marlies,7,13,0,0,0,0,0,1,1,16,15,13,16,13,13,6,13,14,14,16,15,6,15,14,8,12,14,6,11,14,1,1,1,1,1,1,1,1,1,1,1,891
Kalle,Kossila,Toronto,Marlies,6,12,0,0,0,0,0,1,1,15,15,12,14,13,12,6,10,13,14,15,15,7,14,14,14,12,14,7,12,15,1,1,1,1,1,1,1,1,1,1,1,793
Kasimir,Kaskisuo,Toronto,Marlies,9,1,0,0,0,0,0,12,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,13,14,13,14,14,13,13,13,13,13,519
Yegor,Korshkov,Toronto,Marlies,8,15,0,0,0,0,0,1,1,13,12,14,13,12,13,7,13,13,14,14,14,6,13,15,11,14,14,8,14,13,1,1,1,1,1,1,1,1,1,1,1,752
Adam,Brooks,Toronto,Marlies,6,12,0,0,0,0,0,1,1,15,14,13,14,13,12,6,11,14,14,15,15,7,14,13,14,10,14,7,12,12,1,1,1,1,1,1,1,1,1,1,1,740
Giovanni,Fiore,Toronto,Marlies,6,13,0,0,0,0,0,1,1,15,13,11,15,13,14,6,14,14,14,15,15,7,15,12,9,11,12,6,13,12,1,1,1,1,1,1,1,1,1,1,1,741
Jeremy,Bracco,Toronto,Marlies,6,14,0,0,0,0,0,1,1,16,14,12,16,12,12,6,11,14,16,14,14,7,14,12,10,13,14,7,12,12,1,1,1,1,1,1,1,1,1,1,1,799
Tanner,MacMaster,Toronto,Marlies,12,13,0,0,0,0,0,1,1,13,13,12,12,14,13,8,12,11,15,14,12,4,14,12,13,11,13,7,12,13,1,1,1,1,1,1,1,1,1,1,1,633
Teemu,Kivihalme,Toronto,Marlies,7,14,0,0,0,0,0,1,1,15,13,13,15,14,11,6,8,14,14,15,8,14,13,13,7,13,12,13,13,12,1,1,1,1,1,1,1,1,1,1,1,722
Pierre,Engvall,Toronto,Marlies,9,13,0,0,0,0,0,1,1,12,12,15,14,14,15,6,15,15,12,13,15,7,14,13,9,14,11,6,14,11,1,1,1,1,1,1,1,1,1,1,1,761
Hudson,Elynuik,Toronto,Marlies,10,13,0,0,0,0,0,1,1,12,12,13,11,12,14,9,14,12,13,13,13,6,14,12,13,12,13,7,13,12,1,1,1,1,1,1,1,1,1,1,1,601
Jesper,Lindgren,Toronto,Marlies,6,13,0,0,0,0,0,1,1,15,14,13,14,14,11,6,6,11,14,15,6,15,15,12,7,11,14,12,13,14,1,1,1,1,1,1,1,1,1,1,1,728
Kristians,Rubins,Toronto,Marlies,7,11,0,0,0,0,0,1,1,11,11,13,12,12,14,7,8,10,13,14,7,14,12,12,6,11,12,11,14,11,1,1,1,1,1,1,1,1,1,1,1,490
Mason,Marchment,Toronto,Marlies,12,14,0,0,0,0,0,1,1,13,12,14,12,12,14,8,15,14,13,12,15,7,14,15,8,14,14,8,15,12,1,1,1,1,1,1,1,1,1,1,1,799
Ian,Scott,Toronto,Marlies,8,1,0,0,0,0,0,15,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,11,13,11,13,15,12,11,13,12,15,468
Timothy,Liljegren,Toronto,Marlies,8,13,0,0,0,0,0,1,1,18,16,14,15,15,12,6,8,12,14,16,7,16,13,13,7,12,13,11,13,12,1,1,1,1,1,1,1,1,1,1,1,916
Rasmus,Sandin,Toronto,Marlies,6,15,0,0,0,0,0,1,1,15,16,14,16,15,12,6,8,13,15,15,6,15,14,13,6,11,14,11,13,14,1,1,1,1,1,1,1,1,1,1,1,894
Joseph,Woll,Toronto,Marlies,8,1,0,0,0,0,0,12,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,12,15,13,13,14,12,12,12,12,13,417
Zach,Whitecloud,Chicago,Wolves,8,14,0,0,0,0,0,1,1,12,13,15,12,13,15,9,8,12,14,13,7,14,14,13,7,15,14,12,15,14,1,1,1,1,1,1,1,1,1,1,1,772
Paul,Cotter,Chicago,Wolves,8,14,0,0,0,0,0,1,1,12,10,14,12,13,13,9,14,14,13,13,14,5,12,14,11,15,13,6,12,12,1,1,1,1,1,1,1,1,1,1,1,662
Lucas,Elvenes,Chicago,Wolves,6,11,0,0,0,0,0,1,1,15,16,13,14,14,11,6,13,13,16,15,14,7,16,13,12,10,13,7,13,14,1,1,1,1,1,1,1,1,1,1,1,838
Brandon,Pirri,Chicago,Wolves,7,12,0,0,0,0,0,1,1,14,14,13,14,14,13,6,14,16,14,15,16,8,16,14,12,13,13,7,12,13,1,1,1,1,1,1,1,1,1,1,1,893
Tye,McGinn,Chicago,Wolves,11,14,0,0,0,0,0,1,1,13,13,14,14,13,14,10,15,13,12,13,13,5,13,14,9,13,14,7,14,13,1,1,1,1,1,1,1,1,1,1,1,738
Garret,Sparks,Chicago,Wolves,8,1,0,0,0,0,0,14,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,14,15,14,15,15,12,15,13,12,14,614
Tyrell,Goulbourne,Chicago,Wolves,13,15,0,0,0,0,0,1,1,14,14,14,15,12,14,12,13,12,12,13,13,6,12,15,11,16,13,7,13,13,1,1,1,1,1,1,1,1,1,1,1,824
Patrick,Brown,Chicago,Wolves,8,14,0,0,0,0,0,1,1,13,12,13,14,13,14,8,13,12,14,14,14,7,14,13,13,14,14,7,14,14,1,1,1,1,1,1,1,1,1,1,1,769
Jimmy,Schuldt,Chicago,Wolves,8,13,0,0,0,0,0,1,1,13,14,15,14,14,13,7,8,12,14,15,8,16,12,14,6,13,13,13,13,13,1,1,1,1,1,1,1,1,1,1,1,765
Jaycob,Megna,Chicago,Wolves,7,15,0,0,0,0,0,1,1,12,12,16,13,13,16,8,10,11,12,12,6,15,11,15,8,13,15,15,16,14,1,1,1,1,1,1,1,1,1,1,1,864
Kevin,Lough,Chicago,Wolves,8,11,0,0,0,0,0,1,1,13,12,13,12,14,11,6,7,10,13,14,8,14,13,11,7,9,13,13,14,13,1,1,1,1,1,1,1,1,1,1,1,538
Brett,Lernout,Chicago,Wolves,8,14,0,0,0,0,0,1,1,13,12,15,13,14,15,9,9,12,12,13,6,16,12,13,8,16,13,12,15,14,1,1,1,1,1,1,1,1,1,1,1,802
Valentin,Zykov,Chicago,Wolves,6,13,0,0,0,0,0,1,1,14,13,15,15,13,15,6,14,14,15,15,15,6,14,13,9,13,15,7,12,14,1,1,1,1,1,1,1,1,1,1,1,864
Curtis,McKenzie,Chicago,Wolves,14,15,0,0,0,0,0,1,1,12,13,13,13,11,15,17,15,13,12,12,14,6,11,15,11,16,15,8,13,14,1,1,1,1,1,1,1,1,1,1,1,935
Oscar,Dansk,Chicago,Wolves,8,1,0,0,0,0,0,13,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,12,13,14,13,15,14,13,14,14,15,547
Reid,Duke,Chicago,Wolves,9,13,0,0,0,0,0,1,1,14,13,14,14,13,13,9,14,13,13,13,14,6,14,14,13,16,13,7,13,13,1,1,1,1,1,1,1,1,1,1,1,783
Jake,Bischoff,Chicago,Wolves,7,10,0,0,0,0,0,1,1,15,14,14,14,14,13,6,7,12,14,14,7,15,14,13,6,13,14,14,14,14,1,1,1,1,1,1,1,1,1,1,1,780
Nicolas,Roy,Chicago,Wolves,10,14,0,0,0,0,0,1,1,13,14,13,14,14,15,8,15,13,13,14,15,6,14,13,13,13,11,7,15,14,1,1,1,1,1,1,1,1,1,1,1,835
Jermaine,Loewen,Chicago,Wolves,13,14,0,0,0,0,0,1,1,11,10,13,11,11,14,10,12,11,12,12,12,5,11,12,10,11,12,8,12,12,1,1,1,1,1,1,1,1,1,1,1,483
Nic,Hague,Chicago,Wolves,14,15,0,0,0,0,0,1,1,12,12,14,15,14,15,10,11,13,14,13,6,17,12,14,6,16,13,13,16,12,1,1,1,1,1,1,1,1,1,1,1,960
Jonas,Røndbjerg,Chicago,Wolves,5,10,0,0,0,0,0,1,1,15,13,14,14,13,12,4,13,13,14,14,13,6,13,12,11,10,13,6,13,13,1,1,1,1,1,1,1,1,1,1,1,626
Gage,Quinney,Chicago,Wolves,6,12,0,0,0,0,0,1,1,14,14,13,14,13,12,7,12,14,14,15,15,7,15,12,11,11,13,6,13,13,1,1,1,1,1,1,1,1,1,1,1,715
Benjamin,Jones,Chicago,Wolves,8,13,0,0,0,0,0,1,1,13,13,12,14,13,13,7,12,15,15,14,15,7,14,12,13,12,13,6,12,11,1,1,1,1,1,1,1,1,1,1,1,696
Keegan,Kolesar,Chicago,Wolves,13,14,0,0,0,0,0,1,1,12,12,15,14,14,16,10,15,12,12,13,13,6,13,14,9,16,12,7,14,11,1,1,1,1,1,1,1,1,1,1,1,817
Jake,Leschyshyn,Chicago,Wolves,8,14,0,0,0,0,0,1,1,13,14,13,13,13,12,7,12,14,13,14,14,6,13,14,14,13,12,6,12,12,1,1,1,1,1,1,1,1,1,1,1,681
Brayden,Pachal,Chicago,Wolves,12,14,0,0,0,0,0,1,1,12,12,13,13,13,14,8,6,12,13,12,6,13,12,13,6,16,13,12,14,12,1,1,1,1,1,1,1,1,1,1,1,651
Dylan,Coghlan,Chicago,Wolves,7,11,0,0,0,0,0,1,1,14,13,12,15,14,13,6,7,15,15,16,9,16,15,11,6,11,12,11,13,12,1,1,1,1,1,1,1,1,1,1,1,760
Jeremy,Morin,Hershey,Bears,12,13,0,0,0,0,0,1,1,14,13,14,14,12,13,10,12,13,13,13,14,6,14,13,13,12,12,7,14,13,1,1,1,1,1,1,1,1,1,1,1,704
Matt,Moulson,Hershey,Bears,7,12,0,0,0,0,0,1,1,12,12,15,13,14,15,6,14,15,14,14,15,8,16,12,9,12,13,6,13,12,1,1,1,1,1,1,1,1,1,1,1,777
Erik,Burgdoerfer,Hershey,Bears,9,15,0,0,0,0,0,1,1,11,12,15,12,14,14,8,7,12,13,13,6,15,12,15,7,14,14,14,15,14,1,1,1,1,1,1,1,1,1,1,1,783
Michael,Sgarbossa,Hershey,Bears,10,12,0,0,0,0,0,1,1,14,15,13,14,14,14,8,13,14,14,15,15,7,15,12,11,15,12,7,12,13,1,1,1,1,1,1,1,1,1,1,1,819
Kale,Kessy,Hershey,Bears,15,15,0,0,0,0,0,1,1,12,10,14,12,10,15,13,13,12,12,13,11,5,12,14,11,15,12,7,13,12,1,1,1,1,1,1,1,1,1,1,1,694
Joey,Leach,Hershey,Bears,14,14,0,0,0,0,0,1,1,11,10,13,12,13,15,12,10,10,14,13,7,12,13,13,9,12,12,11,14,12,1,1,1,1,1,1,1,1,1,1,1,627
Tyler,Lewington,Hershey,Bears,15,17,0,0,0,0,0,1,1,13,13,15,12,13,15,16,9,11,13,13,6,16,12,14,6,18,13,14,14,14,1,1,1,1,1,1,1,1,1,1,1,1076
