{'first_name': 'Cameron', 'last_name': 'Gaunce', 'Team Name': 'Syracuse', 'Team Nickname': 'Crunch', 'Aggression': 12, 'Bravery': 15, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 13, 'Agility': 13, 'Balance': 15, 'Speed': 14, 'Stamina': 14, 'Strength': 15, 'Fighting': 9, 'Screening': 8, 'Getting Open': 12, 'Passing': 14, 'Puck Handling': 13, 'Shooting Accuracy': 8, 'Shooting Range': 13, 'Offensive Read': 12, 'Checking': 15, 'Faceoffs': 6, 'Hitting': 15, 'Positioning': 12, 'Shot Blocking': 13, 'Stickchecking': 15, 'Defensive Read': 13, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 816}
{'first_name': 'Casey', 'last_name': 'Mittelstadt', 'Team Name': 'Rochester', 'Team Nickname': 'Americans', 'Aggression': 6, 'Bravery': 15, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 15, 'Agility': 16, 'Balance': 16, 'Speed': 15, 'Stamina': 14, 'Strength': 15, 'Fighting': 6, 'Screening': 15, 'Getting Open': 15, 'Passing': 15, 'Puck Handling': 17, 'Shooting Accuracy': 16, 'Shooting Range': 6, 'Offensive Read': 15, 'Checking': 12, 'Faceoffs': 11, 'Hitting': 11, 'Positioning': 15, 'Shot Blocking': 6, 'Stickchecking': 15, 'Defensive Read': 15, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 1162}
{'first_name': 'Zac', 'last_name': 'Rinaldo', 'Team Name': 'Stockton', 'Team Nickname': 'Heat', 'Aggression': 11, 'Bravery': 18, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 13, 'Agility': 13, 'Balance': 15, 'Speed': 14, 'Stamina': 13, 'Strength': 16, 'Fighting': 15, 'Screening': 15, 'Getting Open': 13, 'Passing': 12, 'Puck Handling': 13, 'Shooting Accuracy': 14, 'Shooting Range': 6, 'Offensive Read': 11, 'Checking': 13, 'Faceoffs': 8, 'Hitting': 18, 'Positioning': 13, 'Shot Blocking': 8, 'Stickchecking': 13, 'Defensive Read': 13, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 1024}
{'first_name': 'Byron', 'last_name': 'Froese', 'Team Name': 'Stockton', 'Team Nickname': 'Heat', 'Aggression': 9, 'Bravery': 15, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 13, 'Agility': 12, 'Balance': 13, 'Speed': 13, 'Stamina': 13, 'Strength': 14, 'Fighting': 8, 'Screening': 14, 'Getting Open': 13, 'Passing': 14, 'Puck Handling': 14, 'Shooting Accuracy': 13, 'Shooting Range': 5, 'Offensive Read': 12, 'Checking': 14, 'Faceoffs': 12, 'Hitting': 14, 'Positioning': 14, 'Shot Blocking': 9, 'Stickchecking': 14, 'Defensive Read': 14, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 765}
{'first_name': 'Zach', 'last_name': 'Leslie', 'Team Name': 'Stockton', 'Team Nickname': 'Heat', 'Aggression': 8, 'Bravery': 12, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 15, 'Agility': 15, 'Balance': 13, 'Speed': 14, 'Stamina': 14, 'Strength': 12, 'Fighting': 7, 'Screening': 7, 'Getting Open': 12, 'Passing': 14, 'Puck Handling': 15, 'Shooting Accuracy': 6, 'Shooting Range': 15, 'Offensive Read': 13, 'Checking': 14, 'Faceoffs': 6, 'Hitting': 12, 'Positioning': 14, 'Shot Blocking': 13, 'Stickchecking': 14, 'Defensive Read': 14, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 779}
{'first_name': 'Alan', 'last_name': 'Quine', 'Team Name': 'Stockton', 'Team Nickname': 'Heat', 'Aggression': 7, 'Bravery': 13, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 13, 'Agility': 15, 'Balance': 15, 'Speed': 15, 'Stamina': 15, 'Strength': 15, 'Fighting': 6, 'Screening': 13, 'Getting Open': 13, 'Passing': 14, 'Puck Handling': 14, 'Shooting Accuracy': 14, 'Shooting Range': 6, 'Offensive Read': 13, 'Checking': 13, 'Faceoffs': 9, 'Hitting': 15, 'Positioning': 14, 'Shot Blocking': 7, 'Stickchecking': 12, 'Defensive Read': 12, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 812}
{'first_name': 'Brandon', 'last_name': 'Davidson', 'Team Name': 'Stockton', 'Team Nickname': 'Heat', 'Aggression': 7, 'Bravery': 13, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 11, 'Agility': 12, 'Balance': 14, 'Speed': 14, 'Stamina': 14, 'Strength': 15, 'Fighting': 8, 'Screening': 8, 'Getting Open': 12, 'Passing': 11, 'Puck Handling': 13, 'Shooting Accuracy': 8, 'Shooting Range': 15, 'Offensive Read': 11, 'Checking': 16, 'Faceoffs': 6, 'Hitting': 16, 'Positioning': 15, 'Shot Blocking': 16, 'Stickchecking': 13, 'Defensive Read': 15, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 857}
{'first_name': 'Alex', 'last_name': 'Gallant', 'Team Name': 'Stockton', 'Team Nickname': 'Heat', 'Aggression': 18, 'Bravery': 16, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 12, 'Agility': 10, 'Balance': 15, 'Speed': 12, 'Stamina': 11, 'Strength': 15, 'Fighting': 18, 'Screening': 15, 'Getting Open': 9, 'Passing': 9, 'Puck Handling': 10, 'Shooting Accuracy': 12, 'Shooting Range': 4, 'Offensive Read': 10, 'Checking': 14, 'Faceoffs': 11, 'Hitting': 17, 'Positioning': 11, 'Shot Blocking': 7, 'Stickchecking': 12, 'Defensive Read': 12, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 951}
{'first_name': 'Jonathan', 'last_name': 'Racine', 'Team Name': 'Stockton', 'Team Nickname': 'Heat', 'Aggression': 16, 'Bravery': 14, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 12, 'Agility': 11, 'Balance': 13, 'Speed': 13, 'Stamina': 11, 'Strength': 12, 'Fighting': 14, 'Screening': 7, 'Getting Open': 9, 'Passing': 11, 'Puck Handling': 12, 'Shooting Accuracy': 7, 'Shooting Range': 14, 'Offensive Read': 10, 'Checking': 14, 'Faceoffs': 7, 'Hitting': 14, 'Positioning': 13, 'Shot Blocking': 13, 'Stickchecking': 14, 'Defensive Read': 13, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 672}
{'first_name': 'Matt', 'last_name': 'Gaudreau', 'Team Name': 'Stockton', 'Team Nickname': 'Heat', 'Aggression': 6, 'Bravery': 12, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 14, 'Agility': 14, 'Balance': 12, 'Speed': 13, 'Stamina': 13, 'Strength': 10, 'Fighting': 5, 'Screening': 11, 'Getting Open': 13, 'Passing': 13, 'Puck Handling': 14, 'Shooting Accuracy': 14, 'Shooting Range': 5, 'Offensive Read': 13, 'Checking': 11, 'Faceoffs': 9, 'Hitting': 9, 'Positioning': 13, 'Shot Blocking': 7, 'Stickchecking': 13, 'Defensive Read': 12, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 542}
{'first_name': 'Jon', 'last_name': 'Gillies', 'Team Name': 'Stockton', 'Team Nickname': 'Heat', 'Aggression': 8, 'Bravery': 1, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 13, 'Goalie Stamina': 14, 'Acceleration': 1, 'Agility': 1, 'Balance': 1, 'Speed': 1, 'Stamina': 1, 'Strength': 1, 'Fighting': 1, 'Screening': 1, 'Getting Open': 1, 'Passing': 1, 'Puck Handling': 1, 'Shooting Accuracy': 1, 'Shooting Range': 1, 'Offensive Read': 1, 'Checking': 1, 'Faceoffs': 1, 'Hitting': 1, 'Positioning': 1, 'Shot Blocking': 1, 'Stickchecking': 1, 'Defensive Read': 1, 'G Positioning': 14, 'G Passing': 14, 'G Pokecheck': 15, 'Blocker': 14, 'Glove': 15, 'Rebound': 13, 'Recovery': 14, 'G Puckhandling': 13, 'Low Shots': 11, 'G Skating': 12, 'Reflexes': 14, 'TPE': 546}
{'first_name': 'Ryan', 'last_name': 'Lomberg', 'Team Name': 'Stockton', 'Team Nickname': 'Heat', 'Aggression': 16, 'Bravery': 15, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 16, 'Agility': 12, 'Balance': 12, 'Speed': 16, 'Stamina': 11, 'Strength': 15, 'Fighting': 16, 'Screening': 13, 'Getting Open': 14, 'Passing': 13, 'Puck Handling': 14, 'Shooting Accuracy': 14, 'Shooting Range': 6, 'Offensive Read': 12, 'Checking': 14, 'Faceoffs': 10, 'Hitting': 16, 'Positioning': 13, 'Shot Blocking': 7, 'Stickchecking': 12, 'Defensive Read': 13, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 1001}
{'first_name': 'Rob', 'last_name': 'Hamilton', 'Team Name': 'Stockton', 'Team Nickname': 'Heat', 'Aggression': 13, 'Bravery': 14, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 11, 'Agility': 10, 'Balance': 13, 'Speed': 12, 'Stamina': 13, 'Strength': 13, 'Fighting': 9, 'Screening': 7, 'Getting Open': 9, 'Passing': 14, 'Puck Handling': 14, 'Shooting Accuracy': 8, 'Shooting Range': 15, 'Offensive Read': 12, 'Checking': 13, 'Faceoffs': 5, 'Hitting': 13, 'Positioning': 12, 'Shot Blocking': 13, 'Stickchecking': 13, 'Defensive Read': 11, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 592}
{'first_name': 'Luke', 'last_name': 'Philp', 'Team Name': 'Stockton', 'Team Nickname': 'Heat', 'Aggression': 8, 'Bravery': 10, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 14, 'Agility': 14, 'Balance': 13, 'Speed': 13, 'Stamina': 14, 'Strength': 11, 'Fighting': 6, 'Screening': 12, 'Getting Open': 13, 'Passing': 14, 'Puck Handling': 15, 'Shooting Accuracy': 14, 'Shooting Range': 6, 'Offensive Read': 15, 'Checking': 12, 'Faceoffs': 14, 'Hitting': 11, 'Positioning': 12, 'Shot Blocking': 7, 'Stickchecking': 12, 'Defensive Read': 13, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 681}
{'first_name': 'Corey', 'last_name': 'Schueneman', 'Team Name': 'Stockton', 'Team Nickname': 'Heat', 'Aggression': 10, 'Bravery': 13, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 12, 'Agility': 11, 'Balance': 13, 'Speed': 13, 'Stamina': 13, 'Strength': 12, 'Fighting': 7, 'Screening': 6, 'Getting Open': 10, 'Passing': 14, 'Puck Handling': 15, 'Shooting Accuracy': 8, 'Shooting Range': 14, 'Offensive Read': 14, 'Checking': 12, 'Faceoffs': 5, 'Hitting': 13, 'Positioning': 13, 'Shot Blocking': 12, 'Stickchecking': 14, 'Defensive Read': 12, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 607}
{'first_name': 'Rinat', 'last_name': 'Valiev', 'Team Name': 'Stockton', 'Team Nickname': 'Heat', 'Aggression': 10, 'Bravery': 13, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 14, 'Agility': 13, 'Balance': 14, 'Speed': 14, 'Stamina': 14, 'Strength': 15, 'Fighting': 8, 'Screening': 8, 'Getting Open': 11, 'Passing': 14, 'Puck Handling': 14, 'Shooting Accuracy': 7, 'Shooting Range': 16, 'Offensive Read': 13, 'Checking': 14, 'Faceoffs': 7, 'Hitting': 15, 'Positioning': 13, 'Shot Blocking': 12, 'Stickchecking': 15, 'Defensive Read': 13, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 825}
{'first_name': 'Austin', 'last_name': 'Czarnik', 'Team Name': 'Stockton', 'Team Nickname': 'Heat', 'Aggression': 6, 'Bravery': 13, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 14, 'Agility': 16, 'Balance': 14, 'Speed': 14, 'Stamina': 13, 'Strength': 11, 'Fighting': 6, 'Screening': 11, 'Getting Open': 13, 'Passing': 16, 'Puck Handling': 16, 'Shooting Accuracy': 14, 'Shooting Range': 7, 'Offensive Read': 15, 'Checking': 14, 'Faceoffs': 13, 'Hitting': 11, 'Positioning': 15, 'Shot Blocking': 7, 'Stickchecking': 12, 'Defensive Read': 15, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 888}
{'first_name': 'Buddy', 'last_name': 'Robinson', 'Team Name': 'Stockton', 'Team Nickname': 'Heat', 'Aggression': 10, 'Bravery': 15, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 11, 'Agility': 12, 'Balance': 16, 'Speed': 12, 'Stamina': 13, 'Strength': 17, 'Fighting': 8, 'Screening': 17, 'Getting Open': 14, 'Passing': 14, 'Puck Handling': 12, 'Shooting Accuracy': 15, 'Shooting Range': 6, 'Offensive Read': 14, 'Checking': 14, 'Faceoffs': 7, 'Hitting': 16, 'Positioning': 12, 'Shot Blocking': 6, 'Stickchecking': 16, 'Defensive Read': 11, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 976}
{'first_name': 'Sam', 'last_name': 'Kurker', 'Team Name': 'Stockton', 'Team Nickname': 'Heat', 'Aggression': 13, 'Bravery': 14, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 11, 'Agility': 10, 'Balance': 14, 'Speed': 11, 'Stamina': 12, 'Strength': 14, 'Fighting': 12, 'Screening': 13, 'Getting Open': 12, 'Passing': 13, 'Puck Handling': 12, 'Shooting Accuracy': 14, 'Shooting Range': 6, 'Offensive Read': 12, 'Checking': 13, 'Faceoffs': 7, 'Hitting': 13, 'Positioning': 13, 'Shot Blocking': 8, 'Stickchecking': 13, 'Defensive Read': 12, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 606}
{'first_name': 'Dillon', 'last_name': 'Dubé', 'Team Name': 'Stockton', 'Team Nickname': 'Heat', 'Aggression': 7, 'Bravery': 14, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 15, 'Agility': 15, 'Balance': 14, 'Speed': 16, 'Stamina': 15, 'Strength': 13, 'Fighting': 6, 'Screening': 12, 'Getting Open': 13, 'Passing': 14, 'Puck Handling': 14, 'Shooting Accuracy': 14, 'Shooting Range': 7, 'Offensive Read': 14, 'Checking': 12, 'Faceoffs': 13, 'Hitting': 13, 'Positioning': 11, 'Shot Blocking': 7, 'Stickchecking': 13, 'Defensive Read': 13, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 818}
{'first_name': 'Justin', 'last_name': 'Kirkland', 'Team Name': 'Stockton', 'Team Nickname': 'Heat', 'Aggression': 8, 'Bravery': 14, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 13, 'Agility': 12, 'Balance': 13, 'Speed': 14, 'Stamina': 13, 'Strength': 14, 'Fighting': 7, 'Screening': 15, 'Getting Open': 13, 'Passing': 13, 'Puck Handling': 13, 'Shooting Accuracy': 14, 'Shooting Range': 6, 'Offensive Read': 13, 'Checking': 13, 'Faceoffs': 12, 'Hitting': 12, 'Positioning': 14, 'Shot Blocking': 7, 'Stickchecking': 14, 'Defensive Read': 14, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 728}
{'first_name': 'Artyom', 'last_name': 'Zagidulin', 'Team Name': 'Stockton', 'Team Nickname': 'Heat', 'Aggression': 9, 'Bravery': 1, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 13, 'Goalie Stamina': 13, 'Acceleration': 1, 'Agility': 1, 'Balance': 1, 'Speed': 1, 'Stamina': 1, 'Strength': 1, 'Fighting': 1, 'Screening': 1, 'Getting Open': 1, 'Passing': 1, 'Puck Handling': 1, 'Shooting Accuracy': 1, 'Shooting Range': 1, 'Offensive Read': 1, 'Checking': 1, 'Faceoffs': 1, 'Hitting': 1, 'Positioning': 1, 'Shot Blocking': 1, 'Stickchecking': 1, 'Defensive Read': 1, 'G Positioning': 14, 'G Passing': 13, 'G Pokecheck': 14, 'Blocker': 13, 'Glove': 13, 'Rebound': 12, 'Recovery': 13, 'G Puckhandling': 14, 'Low Shots': 13, 'G Skating': 11, 'Reflexes': 15, 'TPE': 473}
{'first_name': 'Eetu', 'last_name': 'Tuulola', 'Team Name': 'Stockton', 'Team Nickname': 'Heat', 'Aggression': 9, 'Bravery': 14, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 13, 'Agility': 11, 'Balance': 14, 'Speed': 15, 'Stamina': 13, 'Strength': 15, 'Fighting': 8, 'Screening': 15, 'Getting Open': 14, 'Passing': 12, 'Puck Handling': 13, 'Shooting Accuracy': 14, 'Shooting Range': 6, 'Offensive Read': 13, 'Checking': 12, 'Faceoffs': 10, 'Hitting': 15, 'Positioning': 10, 'Shot Blocking': 7, 'Stickchecking': 13, 'Defensive Read': 12, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 719}
{'first_name': 'Andrew', 'last_name': 'Nielsen', 'Team Name': 'Stockton', 'Team Nickname': 'Heat', 'Aggression': 14, 'Bravery': 11, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 13, 'Agility': 11, 'Balance': 14, 'Speed': 15, 'Stamina': 14, 'Strength': 16, 'Fighting': 13, 'Screening': 8, 'Getting Open': 13, 'Passing': 14, 'Puck Handling': 14, 'Shooting Accuracy': 8, 'Shooting Range': 16, 'Offensive Read': 15, 'Checking': 12, 'Faceoffs': 7, 'Hitting': 15, 'Positioning': 11, 'Shot Blocking': 12, 'Stickchecking': 15, 'Defensive Read': 12, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 883}
{'first_name': 'Glenn', 'last_name': 'Gawdin', 'Team Name': 'Stockton', 'Team Nickname': 'Heat', 'Aggression': 12, 'Bravery': 13, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 12, 'Agility': 12, 'Balance': 13, 'Speed': 13, 'Stamina': 13, 'Strength': 14, 'Fighting': 9, 'Screening': 14, 'Getting Open': 14, 'Passing': 14, 'Puck Handling': 14, 'Shooting Accuracy': 13, 'Shooting Range': 7, 'Offensive Read': 13, 'Checking': 11, 'Faceoffs': 15, 'Hitting': 14, 'Positioning': 13, 'Shot Blocking': 7, 'Stickchecking': 14, 'Defensive Read': 13, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 745}
{'first_name': 'Matthew', 'last_name': 'Phillips', 'Team Name': 'Stockton', 'Team Nickname': 'Heat', 'Aggression': 5, 'Bravery': 13, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 16, 'Agility': 14, 'Balance': 12, 'Speed': 14, 'Stamina': 14, 'Strength': 10, 'Fighting': 6, 'Screening': 9, 'Getting Open': 13, 'Passing': 14, 'Puck Handling': 16, 'Shooting Accuracy': 14, 'Shooting Range': 7, 'Offensive Read': 14, 'Checking': 11, 'Faceoffs': 12, 'Hitting': 9, 'Positioning': 14, 'Shot Blocking': 6, 'Stickchecking': 10, 'Defensive Read': 13, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 701}
{'first_name': 'Alexander', 'last_name': 'Yelesin', 'Team Name': 'Stockton', 'Team Nickname': 'Heat', 'Aggression': 9, 'Bravery': 13, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 14, 'Agility': 13, 'Balance': 14, 'Speed': 14, 'Stamina': 15, 'Strength': 14, 'Fighting': 8, 'Screening': 7, 'Getting Open': 12, 'Passing': 13, 'Puck Handling': 13, 'Shooting Accuracy': 6, 'Shooting Range': 16, 'Offensive Read': 12, 'Checking': 14, 'Faceoffs': 6, 'Hitting': 16, 'Positioning': 14, 'Shot Blocking': 13, 'Stickchecking': 14, 'Defensive Read': 14, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 834}
